Código;Município;URS;Micro;Macro;População;CODMICRO;CODMACRO;Carimbo de data/hora;Total acumulado de doses de vacina aplicadas (PRIMEIRA DOSE - D1);Total acumulado de doses de vacina aplicadas (SEGUNDA DOSE - D2);Total acumulado de doses de vacina aplicadas (DOSE ÚNICA - DU);Total acumulado de doses de vacina aplicadas (PRIMEIRA Dose de REFORÇO);Total acumulado de doses de vacina aplicadas (SEGUNDA Dose de REFORÇO);Total acumulado de doses de vacinas PEDIÁTRICAS aplicadas (PRIMEIRA DOSE - D1);Total acumulado de doses de vacinas PEDIÁTRICAS aplicadas (SEGUNDA DOSE - D2)
310010;Abadia dos Dourados;Uberlândia;PATROCÍNIO/MONTE CARMELO;TRIÂNGULO DO NORTE;7.055;31074;3113;03/05/2022 10:06;6.069;5.483;126;3.503;185;300;239
310020;Abaeté;Sete Lagoas;SETE LAGOAS;CENTRO;23.692;31024;3103;03/05/2022 09:52;20.171;18.367;499;10.330;796;1.111;443
310030;Abre Campo;Manhuaçu;MANHUAÇU;LESTE DO SUL;13.839;31059;3110;03/05/2022 11:09;10.929;10.014;440;5.708;120;732;417
310040;Acaiaca;Ponte Nova;PONTE NOVA;LESTE DO SUL;4.069;31060;3110;30/04/2022 10:48;3.987;3.543;229;1.849;39;315;185
310050;Açucena;Coronel Fabriciano;IPATINGA;VALE DO AÇO;9.921;31037;3114;03/05/2022 08:04;7.027;6.807;255;4.547;424;571;391
310060;Água Boa;Governador Valadares;SANTA MARIA DO SUAÇUÍ;LESTE;13.712;31081;3106;03/05/2022 11:41;10.611;10.675;275;6.233;524;959;678
310070;Água Comprida;Uberaba;UBERABA;TRIÂNGULO DO SUL;2.030;31072;3112;02/05/2022 09:32;2.002;2.023;40;1.438;146;179;102
310080;Aguanil;Divinópolis;CAMPO BELO;OESTE;4.568;31089;3105;18/04/2022 20:56;4.163;3.930;105;2.719;178;346;176
310090;Águas Formosas;Teófilo Otoni;ÁGUAS FORMOSAS;NORDESTE;19.401;31062;3111;03/05/2022 11:55;14.515;13.618;442;6.453;162;1.232;617
310100;Águas Vermelhas;Pedra Azul;PEDRA AZUL;NORDESTE;13.488;31.068;3111;02/05/2022 07:55;10.047;9.500;205;5.285;185;1.062;644
310110;Aimorés;Governador Valadares;RESPLENDOR;LESTE;25.657;31.040;3106;03/05/2022 11:46;19.909;18.238;669;10.590;932;1.356;851
